:Arabidopsis_lyrata_negative
:centroid_mass	total_ion_count
59.0235	1.088e2
60.0214	2.540e1
61.0679	2.700e0
61.0862	8.264e0
61.1045	1.829e0
61.1265	9.930e0
61.1522	3.879e0
61.1998	2.401e1
61.2401	2.200e1
61.2805	4.353e1
61.3135	3.577e1
61.3686	4.202e1
61.4016	3.283e1
61.4273	5.545e1
61.5375	2.440e3
61.5559	9.241e2
61.5890	1.204e3
61.6074	1.969e3
61.6626	1.101e3
61.6847	1.105e3
61.7252	8.676e2
61.7473	1.466e3
61.7767	6.684e2
61.7952	1.120e3
61.8283	1.357e3
61.8467	1.157e3
61.8799	1.590e3
61.8983	8.956e2
61.9168	2.695e3
61.9942	2.699e5
62.1013	5.047e2
62.1419	3.185e2
62.1863	7.106e2
62.2343	6.929e2
62.2528	2.681e2
62.2750	3.559e2
62.2935	2.903e2
62.3416	7.930e2
62.3638	1.966e2
62.3860	1.044e3
62.4563	1.047e3
62.5082	3.989e2
62.5304	3.280e2
62.5527	3.166e2
62.5786	3.346e2
62.6046	2.659e2
62.6231	1.886e2
62.6416	2.563e2
62.6639	2.571e2
62.6862	2.859e2
62.7233	3.208e2
62.7678	3.441e2
62.8235	3.809e2
62.8570	1.690e2
62.8792	1.956e2
62.9238	3.247e2
62.9648	9.264e1
62.9945	1.910e3
63.0577	8.381e1
63.0912	2.109e2
63.1136	1.016e2
63.1359	1.135e2
63.1583	2.863e2
63.2253	9.403e1
63.2514	1.817e2
63.2887	4.267e1
63.3111	1.304e2
63.3297	8.716e1
63.3521	1.075e2
63.3745	1.904e2
63.4230	1.109e2
63.4416	5.486e1
63.4640	1.053e2
63.5126	1.905e2
63.5499	1.147e2
63.5873	1.048e2
63.6359	2.259e2
63.6995	1.597e2
63.7294	1.034e2
63.7630	4.693e1
63.7892	1.257e2
63.8342	6.387e1
63.8566	6.476e1
63.8903	9.414e1
63.9166	9.741e1
63.9653	6.531e1
63.9990	2.399e3
64.0665	6.852e1
64.1265	8.893e1
64.1491	3.570e1
64.1754	6.535e1
64.1979	1.965e1
64.2167	3.378e1
64.2429	5.008e1
64.2655	4.856e1
64.2880	5.075e1
64.3143	5.052e1
64.3594	1.127e2
64.4083	3.526e1
64.4422	3.493e1
64.4685	3.104e1
64.4986	2.288e1
64.5287	4.750e1
64.5739	4.464e1
64.6116	4.311e1
64.6530	5.449e1
64.6756	2.673e1
64.6982	1.017e1
64.7171	1.283e1
64.7359	3.037e1
64.7548	8.054e0
64.7774	1.246e1
64.7963	2.173e1
64.8265	2.536e1
64.8529	2.251e1
64.8793	2.421e1
64.8982	2.376e1
64.9661	6.809e1
65.0001	5.230e1
65.0682	2.317e1
65.0984	3.603e1
65.1362	2.559e1
65.1930	4.860e1
65.2422	1.002e1
65.2763	3.911e1
65.3293	1.405e1
65.3482	1.004e1
65.3672	1.868e1
65.4013	6.043e0
65.4202	1.490e1
65.4468	1.493e1
65.4885	1.853e1
65.5226	2.616e1
65.5454	1.841e1
65.5643	1.134e1
65.5985	1.208e1
65.6213	8.447e0
65.6403	2.037e1
65.6706	3.816e0
65.6934	1.204e1
65.7200	1.585e1
65.7542	8.333e0
65.7808	1.455e1
65.8150	1.207e1
65.8378	6.997e0
65.8568	1.226e1
65.8835	9.107e0
65.9025	8.440e0
65.9215	1.218e1
65.9444	1.418e1
65.9672	2.003e1
66.0052	1.969e1
66.0433	8.142e0
66.0624	3.328e1
66.1081	7.422e0
66.1348	8.284e0
66.1538	1.291e1
66.1958	1.776e1
66.2186	7.545e0
66.3026	2.156e1
66.3484	1.527e1
66.3751	6.613e0
66.4400	1.651e1
66.4706	6.324e0
66.5050	8.903e0
66.5279	9.529e0
66.6082	1.528e1
66.6503	1.097e1
66.6771	3.780e0
66.7038	1.134e1
66.7230	3.241e1
66.8225	1.464e1
66.8417	6.536e0
66.8877	7.184e0
66.9375	5.002e0
66.9567	4.903e0
67.0219	3.946e1
67.1102	1.464e1
67.1447	3.325e0
67.1755	1.018e1
67.2254	5.269e0
67.2485	2.608e0
67.3330	1.997e1
67.4561	6.296e0
67.4792	4.740e0
67.4985	7.208e0
67.5909	8.476e0
67.6526	3.359e0
67.6719	4.313e0
67.7066	8.846e0
67.7644	9.335e-1
67.8068	7.420e0
67.8532	9.264e0
67.8763	1.051e1
67.9690	3.050e1
67.9922	6.885e0
68.0193	3.105e1
68.1391	1.920e1
68.2823	1.449e1
68.9033	4.487e0
69.0123	7.054e1
69.0435	3.091e1
69.3944	3.791e0
69.9420	5.929e0
69.9655	1.083e1
70.0126	3.052e0
70.0361	1.699e1
70.0675	7.376e0
70.1302	1.090e1
70.2441	2.550e0
70.4288	6.935e1
70.4603	6.462e1
70.4918	1.170e2
70.5154	9.095e1
70.5351	1.039e2
70.5784	1.447e2
70.5981	4.939e1
70.6217	1.038e2
70.6690	1.326e2
70.7123	9.662e1
70.7438	1.056e2
70.7793	1.603e2
70.8306	1.042e2
70.8819	1.862e2
70.9055	9.789e1
70.9292	2.653e2
70.9687	3.939e1
71.0200	2.902e4
71.0951	3.261e1
71.1227	3.088e1
71.1504	2.538e1
71.1702	3.510e1
71.2018	3.183e1
71.2216	2.522e1
71.2532	4.504e1
71.3007	7.132e1
71.3284	4.638e1
71.3640	5.577e1
71.3838	6.732e1
71.4353	6.292e1
71.4551	3.377e1
71.4789	2.993e1
71.5106	8.186e1
71.5344	1.405e1
71.5542	7.225e1
71.6176	6.636e1
71.6454	1.527e1
71.6692	7.984e1
71.7208	1.304e1
71.7446	2.936e1
71.7883	1.826e1
71.8081	3.335e1
71.8479	3.035e1
71.8955	3.291e1
71.9392	1.675e1
71.9711	4.257e1
72.0228	1.218e3
72.1063	1.358e1
72.1342	2.867e1
72.1660	5.034e0
72.1899	1.201e1
72.2257	9.041e0
72.2616	1.121e1
72.2815	1.796e1
72.3014	4.749e0
72.3413	1.733e1
72.3692	1.552e1
72.4130	3.943e1
72.4370	1.908e1
72.4609	2.729e1
72.4888	3.122e1
72.5407	5.045e1
72.6126	3.050e1
72.6405	2.532e1
72.6605	1.611e1
72.7085	7.568e0
72.7284	1.212e1
72.7564	2.154e1
72.7964	1.777e1
72.8284	2.149e1
72.8804	3.330e1
72.9164	3.238e1
72.9484	3.726e1
73.0005	3.010e3
73.0365	1.854e3
73.0926	7.447e0
73.1287	1.219e1
73.1527	3.462e0
73.2168	1.568e1
73.2409	8.189e0
73.3211	9.474e0
73.4536	4.065e1
73.4818	1.304e1
73.5420	3.047e1
73.5943	1.330e1
73.7351	7.740e0
73.7713	2.477e0
73.8196	1.315e1
73.8679	1.417e1
73.9727	3.226e1
74.0049	7.303e1
74.0291	1.148e3
74.0896	2.667e0
74.8256	1.092e1
75.0163	1.173e3
75.5245	6.651e0
76.0222	2.175e1
77.9963	1.557e1
78.6391	4.937e0
78.7680	4.288e0
78.9303	2.498e1
78.9636	1.397e3
79.9663	1.413e1
80.9204	3.498e1
80.9795	3.275e2
82.9781	2.138e2
83.0208	1.395e2
83.0592	2.067e1
84.0531	6.512e1
84.0789	2.044e0
84.5221	6.573e0
84.7032	2.702e0
84.8456	7.803e0
84.8758	3.486e0
84.8974	6.512e0
84.9190	6.834e0
84.9535	5.267e1
85.0356	2.732e3
86.0064	1.871e1
86.0325	1.603e2
86.0977	3.283e0
86.2848	3.292e1
86.3589	2.264e1
86.4155	1.361e1
86.4503	1.427e1
86.4809	9.384e0
86.5114	1.027e1
86.5332	8.815e0
86.5593	1.360e1
86.5898	1.693e1
86.6116	8.814e0
86.6422	1.594e1
86.6640	1.294e1
86.7251	7.706e0
86.7469	1.016e1
86.8386	1.883e1
86.8648	1.870e1
86.8910	1.814e1
86.9303	4.862e1
86.9609	3.137e1
87.0134	7.888e3
87.3153	1.804e1
87.3854	2.238e1
87.4336	1.937e1
87.4730	5.553e1
87.6836	1.591e1
87.7318	1.226e1
87.7889	5.567e0
87.8109	1.180e1
87.8548	1.936e1
87.8987	8.682e0
87.9251	6.791e0
87.9515	1.201e1
88.0174	3.301e2
88.0482	2.681e3
88.1978	5.451e0
88.2946	2.168e1
88.3255	1.723e1
88.3563	9.891e0
88.3960	4.890e1
88.4532	4.111e1
88.5017	9.000e0
88.5238	2.444e0
88.5458	1.100e1
88.5723	1.089e1
88.5944	1.489e1
88.6164	7.110e0
88.6385	2.066e1
88.6914	2.610e1
88.7268	1.766e1
88.7665	9.439e0
88.7974	6.772e0
88.8371	1.944e1
88.8681	1.766e1
88.9255	6.609e1
88.9520	2.210e1
89.0316	6.938e3
89.1953	6.100e0
89.3060	1.242e1
89.3370	4.649e0
89.3592	2.871e0
89.4079	1.830e1
89.5675	8.089e0
89.6030	3.759e0
89.6918	1.260e1
89.9627	6.288e0
90.0338	2.261e2
90.5861	2.526e0
90.6084	2.748e0
91.0104	1.035e3
92.9883	1.288e1
93.0380	2.027e2
95.0012	5.001e1
95.0286	4.914e1
95.9538	4.970e1
96.0135	1.825e1
96.0502	4.648e1
96.1099	2.783e0
96.1605	1.817e2
96.2157	1.170e2
96.2524	1.642e2
96.2800	7.556e1
96.3352	2.599e2
96.3628	6.569e1
96.3858	1.674e2
96.4180	1.213e2
96.4595	1.378e2
96.5009	1.910e2
96.5515	1.013e2
96.5930	9.339e1
96.6252	2.350e2
96.6759	1.833e2
96.7128	1.495e2
96.7405	1.863e2
96.7681	3.443e2
96.8281	1.123e2
96.8511	1.827e2
96.8834	2.170e2
96.9711	4.592e4
97.0819	4.230e1
97.1050	3.185e1
97.1419	6.578e1
97.1650	3.588e1
97.1881	6.897e1
97.2343	5.531e1
97.2852	5.486e1
97.3175	3.729e1
